x,y,z
8.340440094,9.588739881,209.008524
14.40648987,13.64881573,325.4498178
0.002287496,0.59058166,1.651777845
6.046651453,6.393510787,141.4649037
2.935117816,4.302150521,83.2045064
1.846771895,2.52048797,47.51646541
3.725204228,2.433641525,58.32325321
6.911214541,6.062970626,143.9707598
7.935349485,7.768749913,178.0105001
10.77633468,11.6935307,264.2132916
8.383890288,8.464140876,193.3276023
13.70439001,13.93262878,323.0160359
4.089044995,3.208568198,75.58739874
17.56234873,17.84047757,417.3377137
0.547751864,0.477595091,5.235451236
13.4093502,14.03893813,322.7355671
8.346096047,6.532672484,162.5827063
11.17379657,12.72124515,284.0383575
2.807738772,3.132796199,63.38711645
3.962029782,3.750116859,82.93094029
16.01489137,14.46816731,350.7652011
19.36523151,20.41043214,473.0824915
6.268483563,7.278859044,156.2590555
13.84645231,13.91728896,325.2788065
17.52778305,18.24537287,423.2614484
17.89213327,17.64142836,415.1571742
1.700884227,1.6493543,32.59622569
0.781095665,0.794224572,12.43077787
3.396608391,3.598847447,75.42210143
17.56285007,18.01780231,420.564784
1.966936677,1.567668505,31.90854067
8.4221525,8.603219917,195.8421412
19.1577906,19.96527855,464.4500402
10.6633057,11.47584089,259.5007217
13.83754228,14.04844431,326.4804077
6.31031262,6.732091775,148.3624121
13.73001855,14.31194374,329.4518893
16.69251344,16.28230592,384.5133797
0.365765547,2.662631649,37.61184839
15.0028863,16.69138335,378.2070301
19.77722178,20.40303325,476.3199465
14.96331309,13.35194927,324.2485382
5.608879841,5.668977579,127.4755516
15.78558657,16.24800736,378.655297
2.064520132,2.749356622,51.72354955
8.957870524,8.362410193,196.3779278
18.17191006,19.1709613,441.2726857
5.872282967,5.564112227,126.797997
5.755506772,6.121345115,135.0277315
2.600571442,4.208078487,77.72926672
0.387339157,0.149161789,-1.535007582
13.57671066,13.23588238,310.7937839
4.23256232,4.720156526,101.3712194
5.310933187,7.050006215,146.470669
9.831463186,9.900432991,228.9826263
1.067250902,1.540492293,24.7190559
11.48235211,10.83199709,255.5856372
2.934571498,2.155464543,48.40346776
11.78611074,11.00844803,261.5648276
13.9951672,14.61773,338.6126185
2.046688577,2.47425065,46.17374528
8.281119756,8.355129357,190.8693057
13.88800315,13.43483455,317.2998048
8.283585391,8.887739032,199.5472801
0.999069179,3.384274993,53.47925809
10.71792812,10.59404479,246.5262182
13.2758929,12.95169923,305.6582968
10.29778224,10.60853647,241.6883429
18.89189512,21.35352343,484.6459788
11.73110081,11.41497712,268.9952911
18.06803831,16.25297554,396.115249
2.749494083,3.433743583,68.35116125
2.785526945,2.817559473,58.94855466
16.14782577,16.34409598,382.4476045
7.95353674,8.8609879,196.8167905
